mhi,pop,pop_black,STATEFP,COUNTYFP,TRACTCE,FIPS,P_black
67273.0,5862.0,163.0,13,013,180303,13013180303,0.02780620948481747
72256.0,6124.0,433.0,13,013,180401,13013180401,0.07070542129327237
83704.0,3973.0,332.0,13,297,110503,13297110503,0.0835640573873647
65000.0,5377.0,475.0,13,297,110504,13297110504,0.08833922261484099
74803.0,4716.0,673.0,13,297,110505,13297110505,0.14270568278201867
84405.0,5892.0,651.0,13,297,110506,13297110506,0.1104887983706721
71205.0,8043.0,1409.0,13,297,110507,13297110507,0.175183389282606
69730.0,5243.0,743.0,13,297,110508,13297110508,0.14171275987030327
76173.0,5154.0,613.0,13,297,110601,13297110601,0.11893674815677144
75815.0,5704.0,126.0,13,297,110602,13297110602,0.02208976157082749
55620.0,5176.0,254.0,13,297,110603,13297110603,0.049072642967542504
69306.0,3638.0,1724.0,13,247,060403,13247060403,0.47388675096206706
149583.0,4879.0,912.0,13,067,031209,13067031209,0.186923549907768
82330.0,4558.0,1627.0,13,067,031211,13067031211,0.3569548047389206
184000.0,2330.0,37.0,13,067,031212,13067031212,0.01587982832618026
86808.0,10519.0,5453.0,13,067,031312,13067031312,0.5183952847228824
117366.0,10815.0,5275.0,13,067,031313,13067031313,0.4877484974572353
57975.0,6956.0,3747.0,13,067,031408,13067031408,0.5386716503737781
58739.0,6166.0,3877.0,13,067,031409,13067031409,0.6287706779111255
56458.0,5414.0,2357.0,13,067,031506,13067031506,0.43535278906538605
68688.0,3907.0,2283.0,13,067,031507,13067031507,0.5843358075249552
60948.0,7335.0,2467.0,13,135,050535,13135050535,0.336332651670075
57426.0,5607.0,1846.0,13,135,050536,13135050536,0.3292313179953629
42513.0,4355.0,1923.0,13,135,050537,13135050537,0.4415614236509759
85862.0,7941.0,1414.0,13,135,050538,13135050538,0.1780632162196197
45729.0,5805.0,1868.0,13,135,050539,13135050539,0.3217915590008613
70506.0,7295.0,2544.0,13,135,050540,13135050540,0.34873200822481154
40551.0,4710.0,1551.0,13,135,050541,13135050541,0.3292993630573248
52640.0,5307.0,2480.0,13,135,050542,13135050542,0.4673073299415866
66901.0,7511.0,3189.0,13,135,050543,13135050543,0.42457728664625216
85293.0,13185.0,3831.0,13,135,050544,13135050544,0.29055745164960184
77736.0,9483.0,1898.0,13,135,050547,13135050547,0.2001476326057155
85682.0,11702.0,2839.0,13,135,050548,13135050548,0.24260810117928558
65249.0,15629.0,6931.0,13,135,050545,13135050545,0.4434704715592808
75927.0,18658.0,9745.0,13,135,050546,13135050546,0.522296066030657
80490.0,5490.0,1329.0,13,135,050549,13135050549,0.24207650273224043
84466.0,14579.0,2931.0,13,135,050605,13135050605,0.20104259551409562
90338.0,26399.0,5808.0,13,135,050606,13135050606,0.22000833364900185
62667.0,6930.0,1554.0,13,013,180402,13013180402,0.22424242424242424
73866.0,6771.0,1027.0,13,013,180501,13013180501,0.1516762664303648
62212.0,4716.0,537.0,13,013,180502,13013180502,0.1138676844783715
56250.0,2444.0,427.0,13,159,010100,13159010100,0.17471358428805236
54138.0,2746.0,102.0,13,159,010200,13159010200,0.037144938091769844
47908.0,8726.0,2309.0,13,159,010500,13159010500,0.26461150584460236
43511.0,7762.0,2715.0,13,035,150300,13035150300,0.34978098428240145
52500.0,5872.0,2411.0,13,045,910101,13045910101,0.4105926430517711
70526.0,5172.0,773.0,13,045,910103,13045910103,0.1494586233565352
61494.0,10218.0,2124.0,13,045,910104,13045910104,0.20786846741045215
58781.0,12725.0,2012.0,13,045,910200,13045910200,0.1581139489194499
48596.0,6751.0,794.0,13,045,910300,13045910300,0.11761220559917049
20167.0,3047.0,1230.0,13,045,910502,13045910502,0.40367574663603545
52351.0,9664.0,1677.0,13,045,910701,13045910701,0.17353062913907286
44850.0,3273.0,215.0,13,045,910400,13045910400,0.06568897036358082
38916.0,8778.0,4059.0,13,045,910501,13045910501,0.462406015037594
62132.0,6052.0,1059.0,13,045,910600,13045910600,0.1749834765366821
76841.0,8218.0,769.0,13,045,910702,13045910702,0.09357507909467024
48595.0,8695.0,2043.0,13,045,910703,13045910703,0.23496262219666475
51037.0,4344.0,223.0,13,045,910800,13045910800,0.051335174953959485
58707.0,4178.0,341.0,13,045,910900,13045910900,0.08161799904260411
68179.0,6564.0,882.0,13,045,911000,13045911000,0.1343692870201097
55677.0,7574.0,1118.0,13,045,911100,13045911100,0.14761024557697386
48029.0,6058.0,934.0,13,045,911200,13045911200,0.1541762958071971
37976.0,3811.0,1339.0,13,199,970600,13199970600,0.35135135135135137
36139.0,5053.0,1986.0,13,199,970500,13199970500,0.3930338412824065
72361.0,6040.0,2903.0,13,067,031508,13067031508,0.48062913907284766
81583.0,11568.0,6561.0,13,067,031509,13067031509,0.5671680497925311
73881.0,5511.0,2182.0,13,113,140102,13113140102,0.39593540192342586
84867.0,1881.0,145.0,13,089,020200,13089020200,0.07708665603402445
43309.0,5869.0,482.0,13,089,021303,13089021303,0.08212642698926563
126644.0,4599.0,177.0,13,089,021405,13089021405,0.038486627527723416
106103.0,2701.0,67.0,13,089,020400,13089020400,0.02480562754535357
94662.0,2509.0,591.0,13,089,020801,13089020801,0.2355520127540853
168967.0,5751.0,77.0,13,089,021210,13089021210,0.013388975830290384
106389.0,5065.0,482.0,13,089,021211,13089021211,0.0951628825271471
88778.0,4893.0,826.0,13,089,021706,13089021706,0.1688125894134478
