,placekey,wavg_mhi_context,wvar_mhi_context,entropy_context,customer_race_entropy,customer_bar_mhi_mean,customer_weighted_var,entropy_ratio,wmmhi_ratio,variance_ratio
0,222-222@8g6-x6q-2zf,55826.06602971823,478786746.5844857,0.6830151366989746,0.2861387797159266,50406.5,91709352.25,0.41893475611512926,0.9029205098057026,0.19154530258873229
1,222-222@8g6-x74-249,63962.16995705162,867483935.4441963,0.9979641265394076,0.971354493423402,44421.52,210779494.0096,0.9733360825220456,0.6944967631621551,0.24297797964600934
2,222-222@8g6-x75-y5f,66339.28862194726,964268966.964284,1.0279850505861576,1.356554883717097,72747.0803782506,823861389.9888113,1.3196251083063792,1.096591203936779,0.8543896134939357
3,222-222@8g6-x78-pqf,62437.91975347625,795489316.4825504,1.030937281884264,1.2446143175362083,65513.0,81468676.0,1.2072648253261369,1.0492502033806554,0.10241328740935651
4,222-222@8g6-x8s-rtv,64235.26732043822,959064291.2687856,0.8847198737098058,1.260550224019437,76148.48360655738,808900390.2989117,1.4248015235983116,1.185462235670165,0.8434266583200425
5,222-222@8g6-xr8-bp9,55008.69774628261,302563813.5100365,0.8079657294734224,1.1788942546774213,60952.18443804035,286804461.735435,1.4590894287629566,1.1080463078615488,0.9479139570863495
6,222-222@8g6-y3w-y5f,117910.95125643173,1933627702.9818103,0.8221181111934281,1.0613062603427603,125181.6094890511,2216298272.05553,1.2909413451579537,1.061662281197335,1.1461866566339627
7,222-222@8g6-y44-435,111335.05630744724,1427179166.9988823,0.8617368470363744,1.098131516359042,122196.46531302876,2089860174.2504883,1.2743235015836443,1.097556056158881,1.4643292324993173
8,222-222@8g6-y4w-4sq,110931.1369156715,1520038680.9395683,0.7549505444095251,1.1290512518080935,103748.29336188437,1748231816.1216476,1.495530084942407,0.9352495272878395,1.1501232422855372
9,222-222@8g6-yc4-jsq,97075.0921034755,1515783999.7477765,1.0219387392162345,1.4255505237056605,107762.01851851853,1273181474.2589166,1.394947142133952,1.1100892740194517,0.8399491447797124
10,222-222@8g6-ycf-gx5,88133.08015285798,1401702555.2209978,1.04059650116711,1.1946477828446214,100820.75,704721614.1875,1.148041321977088,1.1439603588702056,0.5027611682397132
11,222-222@8g6-yd5-r6k,72190.54376840468,656863203.5714227,1.0485344209323118,1.381981632807974,90992.98309859156,824825294.8616862,1.3180126519634665,1.2604557099681533,1.255703303788428
12,222-222@8g6-yjh-td9,82291.91476687239,1228762894.0977006,0.8962794923918597,1.4769799697704304,55877.94475138121,341832427.7870028,1.647901109316785,0.6790210789198401,0.2781923424193368
13,222-222@8g6-yjh-wtv,81794.31001174437,1227991330.9009478,0.8950759133073701,1.2841293689152695,70465.51648351649,606551748.7881898,1.4346597308940185,0.8614965573204145,0.4939381358198818
14,222-222@8g6-yjx-49z,96075.34254604694,1675269340.9000916,0.870841816384891,1.1695063360280535,102718.41964285714,1707173594.422114,1.3429607008113171,1.069144453933394,1.0190442532093857
15,222-222@8g6-ykr-5j9,86464.33597532396,1464703543.2017858,0.9073047676528988,1.3859954891947488,68223.9574468085,300282106.7215935,1.5275963916514756,0.7890415935915928,0.20501220749776322
16,222-222@8g6-ykz-6p9,96335.85588132616,1479343044.7364838,0.8164710264838323,1.3040565029081237,81128.66115702479,1381393125.108326,1.597186502164197,0.8421439807102067,0.9337882312174552
17,222-222@8g6-ykz-9mk,94590.54009903775,1459318702.779215,0.8208013229976973,1.2715313187244282,101390.0,2957560274.6666665,1.5491340999312637,1.0718830857064894,2.0266719456374465
18,222-222@8g6-ykz-qfz,87271.48737059864,1299527401.159716,0.8449758188644505,1.349787842048079,89136.87878787878,941663220.1065196,1.5974277747522256,1.0213745803295269,0.7246197496614281
19,222-222@8g6-ykz-zfz,88251.1094513248,1306865192.666263,0.83911569158583,1.4682696884943272,68892.72,697611822.0316,1.7497821852425022,0.7806442369769643,0.5338054957362007
20,222-222@8g6-ym2-f2k,87146.42199785562,1240616690.0537436,0.8508864186937211,1.5834714962800538,69574.72727272728,926704812.7438016,1.86096694164069,0.7983658499994329,0.7469710992713282
21,222-222@8g6-ym4-mff,88018.9341070772,1420209830.6898854,0.8457902317677057,1.285925121078101,89381.63414634146,1998517757.7442,1.5203830368086793,1.0154818966292696,1.4071989325502654
22,222-222@8g6-ym4-pjv,87512.36220962754,1389688016.001995,0.8547323024262814,1.3673350374193254,71269.41379310345,732082929.8977407,1.5997231338255813,0.8143925268796236,0.5267966057618285
23,222-222@8g6-ym4-yn5,87927.78814934008,1320008817.1731734,0.8228909455450122,1.1894715483812115,58629.0,614574718.0,1.44547896026904,0.666785793592603,0.46558379762653757
24,222-222@8g6-ym4-yvz,87177.83286972655,1344708987.9038978,0.8395911442767781,1.301386687646342,71185.00831024931,973759598.6619807,1.5500243142361316,0.8165494136178404,0.7241415112275373
25,222-222@8g6-ym5-249,88325.37769184553,1417199930.55085,0.841538460690328,1.260112824853194,74922.0,0.0,1.497391840914202,0.8482499815782507,0.0
26,222-222@8g6-ym5-59f,88545.98171557415,1378618453.8605227,0.8491464037963263,1.2360140540797315,60535.046875,613158282.3384278,1.4555959355816788,0.6836566233965266,0.44476285706274327
27,222-222@8g6-ym5-rc5,87752.30825129016,1411038658.7568572,0.8499555721080465,1.2943804828633596,71845.0,513460481.3333333,1.5228801661398106,0.8187249023041364,0.36388831599107174
