time,placekey,FIPS,normalized_visits
201910,zzw-222@8g6-yk8-d5f,13135050728,72.21808939884794
201910,zzw-222@8g6-yk8-d5f,13089022301,18.054522349711984
201910,zzw-222@8g6-yk8-d5f,13089023112,18.054522349711984
201910,zzw-222@8g6-yk8-d5f,13089021812,18.054522349711984
201910,zzw-222@8g6-yk8-d5f,13121003500,54.163567049135956
201910,229-222@8g7-46n-9mk,13121003500,260.6367136199023
201910,229-222@8g7-46n-9mk,13045910400,162.89794601243895
201910,229-222@8g7-46n-9mk,13121010800,162.89794601243895
201910,229-222@8g7-46n-9mk,13247060307,162.89794601243895
201910,229-222@8g7-46n-9mk,13121007500,162.89794601243895
201910,229-222@8g7-46n-9mk,13121008201,32.57958920248779
201910,229-222@8g7-46n-9mk,13121007900,97.73876760746337
201910,229-222@8g7-46n-9mk,13121003000,97.73876760746337
201910,229-222@8g7-46n-9mk,13089023107,97.73876760746337
201910,229-222@8g7-46n-9mk,13121008202,32.57958920248779
201910,229-222@8g7-46n-9mk,13089023206,65.15917840497558
201910,229-222@8g7-46n-9mk,13135050310,65.15917840497558
201910,229-222@8g7-46n-9mk,13121007704,97.73876760746337
201910,229-222@8g7-46n-9mk,13121010511,65.15917840497558
201910,229-222@8g7-46n-9mk,13121010204,97.73876760746337
201910,229-222@8g7-46n-9mk,13121002400,130.31835680995115
201910,229-222@8g7-46n-9mk,13121012000,97.73876760746337
201910,229-222@8g7-46n-9mk,13121008601,65.15917840497558
201910,229-222@8g7-46n-9mk,13121010516,32.57958920248779
201910,229-222@8g7-46n-9mk,13121011202,97.73876760746337
201910,229-222@8g7-46n-9mk,13135050424,97.73876760746337
201910,229-222@8g7-46n-9mk,13121012300,65.15917840497558
201910,229-222@8g7-46n-9mk,13097080402,130.31835680995115
201910,229-222@8g7-46n-9mk,13089023114,130.31835680995115
201910,229-222@8g7-46n-9mk,13121010106,65.15917840497558
201910,229-222@8g7-46n-9mk,13063040519,32.57958920248779
201910,229-222@8g7-46n-9mk,13135050608,65.15917840497558
201910,229-222@8g7-46n-9mk,13135050106,65.15917840497558
201910,229-222@8g7-46n-9mk,13151070203,130.31835680995115
201910,229-222@8g7-46n-9mk,13121010110,65.15917840497558
201910,229-222@8g7-46n-9mk,13067031206,130.31835680995115
201910,229-222@8g7-46n-9mk,13063040413,97.73876760746337
201910,229-222@8g7-46n-9mk,13121009602,130.31835680995115
201910,229-222@8g7-46n-9mk,13063040520,130.31835680995115
201910,229-222@8g7-46n-9mk,13067030234,130.31835680995115
201910,229-222@8g7-46n-9mk,13135050208,97.73876760746337
201910,229-222@8g7-46n-9mk,13121006200,97.73876760746337
201910,229-222@8g7-46n-9mk,13063040620,97.73876760746337
201910,229-222@8g7-46n-9mk,13121005200,97.73876760746337
201910,229-222@8g7-46n-9mk,13063040415,32.57958920248779
201910,229-222@8g7-46n-9mk,13121007002,65.15917840497558
201910,229-222@8g7-46n-9mk,13063040521,65.15917840497558
201910,229-222@8g7-46n-9mk,13121010510,32.57958920248779
201910,229-222@8g7-46n-9mk,13067031312,65.15917840497558
201910,229-222@8g7-46n-9mk,13135050610,65.15917840497558
201910,229-222@8g7-46n-9mk,13121010304,32.57958920248779
201910,229-222@8g7-46n-9mk,13089023428,32.57958920248779
201910,223-222@8gm-jqg-94v,13045911100,637.2184358721876
201910,223-222@8gm-jqg-94v,13057090701,318.6092179360938
201910,224-229@8g7-47b-k4v,13121011900,4959.067822552176
201910,224-229@8g7-47b-k4v,13121002800,1081.978434011384
201910,224-229@8g7-47b-k4v,13121001900,811.483825508538
201910,224-229@8g7-47b-k4v,13057090804,721.3189560075893
201910,224-229@8g7-47b-k4v,13067031405,631.1540865066406
201910,224-229@8g7-47b-k4v,13297110507,631.1540865066406
201910,224-229@8g7-47b-k4v,13067031114,540.989217005692
201910,224-229@8g7-47b-k4v,13067030314,540.989217005692
201910,224-229@8g7-47b-k4v,13121001800,540.989217005692
201910,224-229@8g7-47b-k4v,13135050726,450.82434750474334
