time,placekey,FIPS,normalized_visits
201908,zzw-223@8gb-6xy-8n5,13057091008,1512.8575014893859
201908,zzw-223@8gb-6xy-8n5,13057091006,570.4216808894405
201908,zzw-223@8gb-6xy-8n5,13057091007,545.6207382420736
201908,zzw-223@8gb-6xy-8n5,13057091005,173.60659853156886
201908,zzw-223@8gb-6xy-8n5,13057090701,173.60659853156886
201908,zzw-223@8gb-6xy-8n5,13057091103,148.80565588420188
201908,zzw-223@8gb-6xy-8n5,13067030214,124.00471323683489
201908,zzw-223@8gb-6xy-8n5,13057090902,124.00471323683489
201908,zzw-223@8gb-6xy-8n5,13057090300,124.00471323683489
201908,zzw-223@8gb-6xy-8n5,13057090400,24.80094264736698
201908,zzw-223@8gb-6xy-8n5,13067030313,99.20377058946792
201908,zzw-223@8gb-6xy-8n5,13057091101,24.80094264736698
201908,zzw-223@8gb-6xy-8n5,13067030220,49.60188529473396
201908,zzw-223@8gb-6xy-8n5,13057090501,74.40282794210094
201908,zzw-223@8gb-6xy-8n5,13067030232,24.80094264736698
201908,zzw-223@8gb-6xy-8n5,13067030408,99.20377058946792
201908,zzw-223@8gb-6xy-8n5,13223120101,99.20377058946792
201908,zzw-223@8gb-6xy-8n5,13067030222,24.80094264736698
201908,zzw-223@8gb-6xy-8n5,13121009802,99.20377058946792
201908,zzw-223@8gb-6xy-8n5,13067030322,99.20377058946792
201908,zzw-223@8gb-6xy-8n5,13057090502,49.60188529473396
201908,zzw-223@8g6-ytb-fvf,13135050216,87.8619663698362
201908,zzw-223@8g6-ytb-fvf,13135050544,73.21830530819683
201908,zzw-223@8g6-ytb-fvf,13135050606,73.21830530819683
201908,zzw-223@8g6-ytb-fvf,13135050609,58.57464424655747
201908,zzw-223@8g6-ytb-fvf,13135050220,43.9309831849181
201908,zzw-223@8g6-ytb-fvf,13121011626,29.287322123278734
201908,zzw-223@8g6-ytb-fvf,13135050209,43.9309831849181
201908,zzw-223@8g6-ytb-fvf,13135050724,29.287322123278734
201908,zzw-223@8g6-ytb-fvf,13135050213,29.287322123278734
201908,zzw-223@8g6-ytb-fvf,13121011612,58.57464424655747
201908,zzw-223@8g6-ytb-fvf,13121010118,58.57464424655747
