placekey,location_name,brands,latitude,longitude,category_tags,opened_on,closed_on
zzw-223@8g7-46m-wx5,224 Cafe,,33.755686,-84.379339,"African Food,Bar or Pub,Cafe,Cocktail Lounge,Late Night",,
222-222@8g6-yjh-wtv,Follies,,33.861961,-84.306612,"Adult Entertainment,Late Night",,2021-11
222-222@8gj-6tq-3dv,Maria's Restaurant & Lounge,,30.8599,-83.255925,"Bar or Pub,Cocktail Lounge,Late Night",,2020-01
zzw-223@8gn-jch-p7q,CIRCA Craft Cocktails Lounge,,32.463082,-84.994282,"Bar or Pub,Cocktail Lounge,Late Night",,
225-222@8g7-nmr-nkf,The Office Lounge,,33.972475,-83.416279,"Bar or Pub,Cocktail Lounge,Late Night",,2020-01
zzw-222@8g7-4qy-789,50 Yard Line Sports Bar & Grill,,33.55345,-84.465328,"Bar or Pub,Late Night,Sports Bar",,
225-222@8g7-84x-k75,Surrey Tavern,,33.486365,-82.030873,"Bar or Pub,Late Night",,2020-01
222-222@8gm-jr5-wc5,Chalk It Up Billiards,,33.029342,-85.069984,"Late Night,Pool and Billiards",,2022-05
226-222@8g6-ymy-qxq,Maggie's Neighborhood Bar & Grill,,33.814717,-84.312233,"Bar or Pub,Late Night",,
223-223@8gd-h53-swk,Doodles Billiards,,32.270042,-81.224035,"Bar or Pub,Chicken Wings,Late Night,Pool and Billiards",,
zzw-222@8g7-86j-fzz,Club Velvet,,33.444877,-82.092655,"Bar or Pub,Dance Club,Late Night",,
22f-222@8gb-7gv-3t9,SuBourbon Bar & Social Club,,34.019833,-84.61337,"Bar or Pub,Cocktail Lounge,Late Night,Music Venue,Seafood",,
222-222@8g6-ytb-j5f,Han Shin Pocha,,33.959617,-84.130301,"Fine Dining,Karaoke,Korean Food,Late Night",,
224-222@8g6-ym3-v4v,Bucket Shop Cafe,,33.849366,-84.360841,"Bar or Pub,Burgers,Cafe,Cocktail Lounge,Late Night",,
224-222@8g6-t7t-qzz,Rivalry's Sports Bar Grill,,32.898004,-83.702063,"Bar or Pub,Late Night,Sports Bar",,2020-01
zzw-226@8g8-7tz-zj9,H2o,,32.538657,-84.955799,"Dance Club,Late Night",,
243-222@8g7-474-mff,Saltwood Charcuterie & Bar,,33.783239,-84.383155,"American Food,Bar or Pub,Brunch,Cocktail Lounge,Late Night,Smoothie & Juice Bar,Tapas",,
223-222@8g7-37w-73q,Sports Bar 81,,33.427202,-84.183957,"Bar or Pub,Late Night,Sports Bar",,2020-01
zzw-235@8g6-ykx-cyv,Azule Restaurant and Lounge,,33.826287,-84.36621,"Bar or Pub,Cocktail Lounge,Late Night",,2022-07
zzw-225@8g6-ymh-fxq,The Chapter Room,,33.908564,-84.379043,"American Food,Bar or Pub,Late Night",,
223-223@8g6-x93-fxq,Victory Sandwich Bar,,33.774215,-84.295153,"Bar or Pub,Late Night",,
22b-222@8gj-6tw-g6k,Southern Growlers Home of Craft Beers,,30.846682,-83.30794,"Bar or Pub,Late Night",,2020-01
222-222@8g6-t5m-nt9,2O's Pub & Subs,,32.889819,-83.678403,"Bar or Pub,Karaoke,Late Night",,
22j-222@8g6-y5g-grk,Xclusive Hookah Lounge,,33.956075,-84.233577,"Bar or Pub,Hookah,Late Night",,2021-11
zzw-226@8gd-pyh-49z,Dew Drop Inn,,31.982093,-81.147776,"Bar or Pub,Dive Bar,Late Night",,
zzw-222@8g6-y4x-btv,The Mill Kitchen and Bar,,34.014766,-84.363919,"American Food,BBQ and Southern Food",,
223-222@8gd-q62-jy9,Doc's Bar,,31.992271,-80.848116,"Bar or Pub,Late Night",,
223-222@8g7-474-hyv,Koo Koo Room,,33.785839,-84.38447,"Bar or Pub,Cocktail Lounge,Dance Club,Late Night",,
222-22c@8g7-46q-n5z,Lingering Shade Social Club,,33.757845,-84.365049,"Bar or Pub,Late Night",,
zzw-222@8gp-wpc-dsq,Vfw,,31.614538,-81.883604,"Bar or Pub,Late Night",,
222-222@8g6-ym4-yn5,Jungle Atlanta,,33.812814,-84.356911,"American Food,Bar or Pub,Dance Club,Gay Bar,Late Night",,2020-01
22f-222@8gd-q2q-8qf,Bar Crawl Savannah,,32.082618,-81.094489,Late Night,,
222-222@8g6-xhs-xqz,78 Degrees,,33.825718,-84.101154,"Bar or Pub,Hookah,Late Night,Tapas",,2023-01
223-224@8g6-yjn-wc5,The Bar,,33.929427,-84.35673,"Bar or Pub,Late Night",,
223-222@8g7-4qb-bc5,The Gate,,33.576909,-84.37207,"Dance Club,Late Night",,2020-01
222-222@8gb-7gh-hdv,Social House Hookah Lounge,,33.978223,-84.557526,"Bar or Pub,Hookah,Late Night",,2022-07
223-222@8g7-474-mc5,Deadwood Saloon,,33.784766,-84.385471,"Bar or Pub,Late Night",,2020-01
222-223@8g6-x77-gtv,Remy Cafe Lounge,,33.835981,-84.199843,"Bar or Pub,Cafe,Hookah,Late Night",,2020-08
225-222@8g7-477-4gk,Encore Hookah Bar & Bistro,,33.763224,-84.396395,"Bar or Pub,Hookah,Late Night",,2022-06
zzw-223@8gd-pzr-v2k,Blueberry Hill Bar and Grill,,32.078312,-81.195188,"Bar or Pub,Late Night",,
zzw-222@8g6-x8f-975,Club Tasteful,,33.739294,-84.256088,Late Night,,
224-222@8g6-yqm-7dv,Hoyle's Kitchen Bar,,33.950157,-84.509851,"Bar or Pub,Late Night,Sports Bar",,2022-12
zzw-222@8g6-y4b-xkf,North River Tavern,,34.00108,-84.349826,"Bar or Pub,Chicken Wings,Dive Bar,Event Planning,Late Night",,
zzw-222@8g6-x7f-yd9,Calabash Lounge,,33.799255,-84.210321,"Bar or Pub,Cocktail Lounge,Late Night",,2020-01
zzw-224@8g7-4rh-ygk,Crowe's Nest Megaplex,,33.606393,-84.473782,"Bar or Pub,Late Night,Sports Bar",,
zzw-225@8g6-yjf-2hq,Smash Kitchen & Bar,,33.870702,-84.336567,"American Food,Bar or Pub,Cocktail Lounge,Late Night",,2020-01
zzw-222@8g8-7n8-j9z,Hideaway Lounge,,32.55321,-84.897217,"Bar or Pub,Cocktail Lounge,Karaoke,Late Night",,
22c-222@8gd-qbw-35z,Jen's and Friends,,32.079361,-81.091588,"Bar or Pub,Late Night",,
zzw-222@8g6-yn2-75z,Pure Lounge,,33.82769,-84.326289,"Bar or Pub,Cafe,Cocktail Lounge,Hookah,Late Night",,
223-223@8g7-bf7-kpv,Silver Bullet Lounge,,33.447222,-82.013524,Late Night,,2020-01
223-222@8g6-x3z-n5z,Smokey Bones,Smokey Bones,33.699214,-84.089749,"American Food,Burgers,Catering,Dinner,Late Night,Lunch,Steak House",,
224-222@8g7-484-w6k,Deep End,,33.770857,-84.366985,"Arcades,Bar or Pub,Cocktail Lounge,Dive Bar,Late Night",,2020-01
223-223@8g7-84h-8jv,The Clubhouse at Jones Creek,,33.552209,-82.106987,"American Food,Bar or Pub,Cocktail Lounge,Late Night,Sandwich Shop",,
229-222@8g7-4bf-w49,Murph's Lounge,,33.91157,-84.54459,"Bar or Pub,Cocktail Lounge,Late Night",,2021-11
224-222@8g6-ym4-ygk,Little Wings Social Club,,33.813037,-84.357715,Late Night,,2020-01
zzw-222@8g6-ysk-6p9,Station Karoke Night Club,,33.975556,-84.158614,"Arcades,Karaoke,Late Night",,2022-06
22h-222@8g7-46r-4d9,Milltown Arms Tavern,,33.749652,-84.36791,"Bar or Pub,Late Night",,
zzw-223@8gm-drr-jy9,Alamo Jacks,,33.375091,-84.800626,"Bar or Pub,Late Night",,
zzy-222@8g7-226-tn5,Shuffle's Bar,,33.993449,-83.749027,"Bar or Pub,Late Night",,2021-10
